31. enero 2018,A PARTAO LW  SOC. MICROCOOPERATIVA, Amaya  1 bajo.,  PAMPLONA,,, Establecimiento de bebidas.,
30. enero 2018,LA GRANJA CUSTOM AND BIKES  SOC. MICROCOOPERATIVA, Avda. Galicia  5 bajo.,  PAMPLONA, www.lagranjacustom.com, administracion@lagranjacustom.com, Reparación de vehículos.,lagranjacustom-300x155.jpg
30. enero 2018,MARLEY S BAR  SOC. MICROCOOPERATIVA, Zarraondoa  2 bajo.,  HUARTE,, anaaznar2006@yahoo.es, Establecimiento bebidas,
30. enero 2018,LA HUERTERA  SOC. MICROCOOPERATIVA, Carretera de Estella.,  LARRAGA,, evaphuerta@hotmail.com, Establecimiento de bebidas.,
30. enero 2018,LA FABRICAS DE GOMAS  SOC. MICROCOOPERATIVA, Fuente de la Teja  12.,  PAMPLONA,, lafabricadegomas@gmail.com, Exposición y venta obras de arte y antigüedades.,Ti5cVNis_400x400-300x300.jpg
30. enero 2018,BIOTANTEC  SOC. MICROCOOPERATIVA, La Ribera  2.,  FONTELLAS, www.biotantec.com, info@biotantec.com, Asesoramiento técnico y tecnológico.,LOGO-copy-300x217.jpg
30. enero 2018,FAMILIA TANASE JIMENEZ  SOC. MICROCOOPERATIVA,,  BERRIOZAR,, partyjimenez@gmail.com, Establecimiento de bebidas.,IMG-20171204-WA0017-300x196.jpg
30. enero 2018,GARAJE 87  SOC. MICROCOOPERATIVA, Avda. de la Baja Navarra  40 bajo., PAMPLONA,, eugenio.amat@hotmail.es, Reparación y venta de motos,
30. enero 2018,MENDILLORRIKO GAZTELUA  SOC. MICROCOOPERATIVA, Concejo de Sarriguren  14 bajo.,  PAMPLONA,, mendillorrikogaztelua1@gmail.com, Establecimiento de bebidas,
30. enero 2018,PUNTO 36  SOC. MICROCOOPERATIVA, Ventura Rodríguez  94 trasera.,  PAMPLONA,, lasala.3G@gmail.com, Bar- Restaurante,
30. enero 2018,ELECTROSAT  SOC. MICROCOOPERATIVA, Travesía Acella  1 Bajo.,  PAMPLONA,, electrosat.coop@gmail.com, Servicio técnico electrodomésticos  calderas y aire acondicionado.,
30. enero 2018,VUELTA DEL CASTILLO 13  SOC. MICROCOOPERATIVA, Vuelta del Castillo  13 bajo,  PAMPLONA,, africavicondoa@gmail.com, Reconocimientos médicos,
30. enero 2018,LIMPIEZAS TELLON  SOC. MICROCOOPERATIVA, Mokarte 3  entreplanta F.,  BURLADA,, limpiezastellon@gmail.com,  Limpieza de comunidades  oficinas.,2018-02-01-16.45.55-300x198.jpg
18. diciembre 2017,PETKIS  SOC. MICROCOOPERATIVA, Morea Sur  Calle B S4 10B.,  BERIAIN, www.petkis.es, igor.larequi@petkis.es, Comercio productos para mascotas,
18. diciembre 2017,FURFUNNY MONTESSORI  SOC. MICROCOOPERATIVA, Yangüas y Miranda  9.,  TUDELA, www.furfunny.es, info@furfunny.es, Fabricación de muebles,logo-FurFunny-Brush-Marco-300x300.jpg
18. diciembre 2017,SERVIDENA  SOC. MICROCOOPERATIVA, Avda. Morgues  4-2º Izda.,  DONEZTEBE, www.male-reka.com, info@male-reka.com, Comercio,
18. diciembre 2017,TAUPADAK  SOC. MICROCOOPERATIVA, Irigai Auzoa s/n,  AOIZ,, agoitzhaureskola@gmail.com, Servicios educativos en Aoiz,LOGOA-300x300.jpg
18. diciembre 2017,BAR CAFETERIA BUZTINTXURI  SOC. MICROCOOPERATIVA, Paseo de Buztintxuri  12., PAMPLONA,, elvisjrubio@hotmail.com, Bar cafetería,
18. julio 2017,NAFARROAKO IKASTOLEN ELKARTEA  COOPERATIVA DE INICIATIVA SOCIAL, C/San Antón  3-1º, PAMPLONA, www.nie.eus, nie@ikastola.eus.com , Servicios educativos.,
18. julio 2017,BORDADOS NIEVES URDANIZ JOSTARIAK  SOC. MICROCOOPERATIVA, Grupo Rinalde  12 bajo., PAMPLONA,, xabi_garin@hotmail.com, Estampación textil industrial.,
